,city,cloudiness,country,date,humidity,latitude,longitude,max temp,wind speed
0,beringovskiy,88,RU,1551398476,98,63.05,179.32,32.14,29.1
1,rikitea,32,PF,1551398013,100,-23.12,-134.97,77.32,5.61
2,busselton,0,AU,1551397808,52,-33.64,115.35,64.99,18.7
3,albany,20,US,1551397996,53,42.65,-73.75,21.2,5.82
4,kodiak,1,US,1551398068,17,39.95,-94.76,28.4,3.27
5,lagos,20,NG,1551394800,100,6.46,3.39,77,2.24
6,sinnamary,80,GF,1551398479,93,5.38,-52.96,78.94,11.1
7,bluff,36,AU,1551398276,44,-23.58,149.07,80.02,12.44
8,cape town,75,ZA,1551398466,88,-33.93,18.42,70,5.82
9,ushuaia,90,AR,1551394800,93,-54.81,-68.31,44.6,18.34
10,tessalit,0,ML,1551398479,45,20.2,1.01,50.28,10.98
11,adrar,0,DZ,1551394800,34,27.87,-0.29,50,9.17
12,jamestown,0,AU,1551398480,44,-33.21,138.6,83.31,7.74
13,hithadhoo,0,MV,1551398480,100,-0.6,73.08,82.68,14
14,avera,90,US,1551398468,93,33.19,-82.53,64.4,3.36
15,bam,0,IR,1551398481,59,29.11,58.36,54.42,12.1
16,sitka,36,US,1551398481,56,37.17,-99.65,37.45,6.17
17,mahina,0,ML,1551398481,39,13.76,-10.85,61.12,8.52
18,tuatapere,24,NZ,1551398409,85,-46.13,167.69,59,15.99
19,bredasdorp,68,ZA,1551398471,88,-34.53,20.04,69.8,10.29
20,hobart,20,AU,1551398355,60,-42.88,147.33,77,5.82
21,ancud,90,CL,1551394800,67,-41.87,-73.83,59,3.36
22,rodrigues alves,75,BR,1551394800,88,-7.74,-72.65,77,3.36
23,punta arenas,75,CL,1551397994,76,-53.16,-70.91,53.6,3.36
24,kaeo,0,NZ,1551397085,65,-35.1,173.78,75.99,3
25,dikson,56,RU,1551398483,89,73.51,80.55,3.3,26.31
26,katsuura,75,JP,1551397340,66,33.93,134.5,50,11.41
27,hilo,40,US,1551398261,47,19.71,-155.08,75.2,17.22
28,alice springs,0,AU,1551396600,24,-23.7,133.88,91.4,12.75
29,buala,56,SB,1551398484,88,-8.15,159.59,83.44,4.05
30,cayenne,92,GF,1551396600,74,4.94,-52.33,78.8,3.36
31,inuvik,5,CA,1551394800,36,68.36,-133.71,14,10.29
32,ginda,0,IN,1551398484,68,30.69,78.49,22.65,2.93
33,beloha,12,MG,1551398484,91,-25.17,45.06,75.39,3.38
34,kapaa,75,US,1551398452,56,22.08,-159.32,75.2,18.34
35,herat,36,AF,1551398229,83,34.35,62.22,41.01,6.4
36,moscow,75,RU,1551396600,92,55.75,37.62,32,4.47
37,trinidad,0,UY,1551398460,49,-33.52,-56.9,67.2,9.08
38,new norfolk,20,AU,1551398475,60,-42.78,147.06,78.01,5.82
39,port alfred,0,ZA,1551398424,81,-33.59,26.89,70,8.01
40,luzhou,92,CN,1551398485,97,28.89,105.45,49.38,2.59
41,atar,0,MR,1551398486,19,20.52,-13.05,64.23,11.21
42,ozinki,88,RU,1551398487,94,51.2,49.73,29.49,12.55
43,richards bay,92,ZA,1551398487,95,-28.77,32.06,73.59,4.38
44,atuona,8,PF,1551398487,100,-9.8,-139.03,80.79,7.74
45,susangerd,75,IR,1551394800,82,31.56,48.19,57.2,6.93
46,lebu,0,ET,1551398488,65,8.96,38.73,46.05,3.94
47,grootfontein,8,NA,1551398488,83,-19.56,18.1,62.97,3.49
48,hulan,90,IR,1551396600,86,34.23,47.18,37.4,11.41
49,ponta do sol,92,BR,1551398488,89,-20.63,-46,70.75,4.16
50,aketi,92,CD,1551398488,97,2.74,23.78,69.94,3.38
51,vestmannaeyjar,76,IS,1551398489,93,63.44,-20.27,43.75,17.36
52,axim,48,GH,1551398489,95,4.87,-2.24,84.07,11.65
53,dingle,0,PH,1551398489,75,11,122.67,77.01,12.66
54,rio grande,0,BR,1551398225,86,-32.03,-52.1,69.49,4.83
55,riosucio,32,CO,1551394800,77,5.42,-75.7,80.6,8.05
56,iqaluit,75,CA,1551397970,84,63.75,-68.52,-2.01,20.8
57,butaritari,92,KI,1551398490,100,3.07,172.79,76.65,9.64
58,xai-xai,0,MZ,1551398490,96,-25.04,33.64,80.34,14.79
59,tuktoyaktuk,5,CA,1551394800,64,69.44,-133.03,-0.41,16.11
60,ayan,0,TR,1551398491,65,40.67,33.6,9.42,2.37
61,avarua,88,CK,1551396600,74,-21.21,-159.78,86,11.41
62,nishihara,75,JP,1551398419,87,35.74,139.53,48.99,3.36
63,elbrus,48,RU,1551398491,83,43.26,42.65,1.9,1.59
64,cesvaine,80,LV,1551398492,81,56.97,26.31,24.4,15.35
65,mataura,64,NZ,1551397807,86,-46.19,168.86,60.01,13
66,hovd,75,NO,1551398415,88,63.83,10.7,37.4,6.93
67,puerto ayora,75,EC,1551394800,70,-0.74,-90.35,84.2,9.17
68,tucuman,32,PE,1551398493,81,-17.17,-70.89,64.5,3.38
69,kalmunai,0,LK,1551398493,98,7.42,81.82,70.8,2.71
70,khatanga,0,RU,1551398493,38,71.98,102.47,-25.51,4.16
71,yellowknife,5,CA,1551398108,52,62.45,-114.38,-11.01,11.41
72,nikolskoye,90,RU,1551398434,67,59.7,30.79,23,17.9
73,upernavik,20,GL,1551398493,100,72.79,-56.15,2.17,13.22
74,tigil,76,RU,1551398494,79,57.8,158.67,6.09,4.38
75,kailua,75,US,1551398420,83,21.39,-157.74,75.2,13.87
76,airai,0,TL,1551398494,82,-8.93,125.41,76.47,0.69
77,barrow,0,AR,1551398494,68,-38.31,-60.23,60.72,9.19
78,san andres,0,PH,1551398495,100,13.32,122.68,77.64,13.89
79,victoria,75,BN,1551396600,100,5.28,115.24,78.8,5.73
80,waingapu,12,ID,1551398495,93,-9.65,120.26,79.12,4.05
81,fairbanks,1,US,1551398154,78,64.84,-147.72,36,4.61
82,codrington,40,AU,1551398114,78,-28.95,153.24,78.8,5.06
83,gat,0,SN,1551396600,37,14.69,-16.54,71.6,11.41
84,dwarka,20,IN,1551396600,87,28.58,77.04,51.8,4.72
85,san luis,0,AR,1551398496,20,-33.3,-66.34,82.54,11.21
86,lorengau,0,PG,1551398240,93,-2.02,147.27,84.3,6.4
87,xuanzhou,92,CN,1551398498,85,30.95,118.78,45.78,11.77
88,ahipara,0,NZ,1551396553,78,-35.17,173.16,75.99,9.19
89,pangoa,76,PE,1551398499,96,-12.12,-73,67.42,1.92
90,narsaq,0,GL,1551394200,80,60.91,-46.05,33.8,6.93
91,severo-kurilsk,12,RU,1551398499,98,50.68,156.12,28.14,4.61
92,stromness,1,CA,1551398494,67,42.87,-79.55,19.99,4.7
93,bonfim,20,BR,1551394800,83,-20.33,-44.24,73.4,0.92
94,bethel,75,US,1551394560,80,60.79,-161.76,41,11.41
95,muktsar,0,IN,1551398285,76,30.47,74.52,48.03,2.82
96,port hardy,20,CA,1551394800,60,50.7,-127.42,42.8,6.93
97,moose factory,90,CA,1551395580,72,51.26,-80.61,15.8,8.05
98,ribeira grande,36,PT,1551398501,93,38.52,-28.7,62.02,19.37
99,santo amaro da imperatriz,75,BR,1551398401,83,-27.69,-48.78,75.2,3.36
100,erenhot,0,CN,1551398263,59,43.65,111.97,10.59,3.6
101,nicoya,0,CR,1551397595,48,10.15,-85.45,87.8,13.87
102,saint-philippe,1,CA,1551398492,56,45.36,-73.48,15.8,6.96
103,longyearbyen,20,NO,1551397800,76,78.22,15.63,-4.01,13.87
104,gdov,8,RU,1551398504,80,58.74,27.82,21.7,19.48
105,houma,56,CN,1551398504,91,35.63,111.36,29.58,2.59
106,tiksi,76,RU,1551398504,70,71.64,128.87,-2.33,14
107,nemuro,12,JP,1551398505,94,43.32,145.57,31.56,10.2
108,coquimbo,20,CL,1551394800,82,-29.95,-71.34,62.6,8.05
109,kavieng,68,PG,1551398505,100,-2.57,150.8,81.42,1.14
110,aklavik,5,CA,1551394800,61,68.22,-135.01,14,11.41
111,lompoc,40,US,1551398375,72,34.64,-120.46,64,13.87
112,cabo san lucas,5,MX,1551398117,44,22.89,-109.91,80.01,8.05
113,manono,76,CD,1551398505,98,-7.3,27.4,69.09,3.27
114,provideniya,90,RU,1551396600,93,64.42,-173.23,33.8,38.03
115,narrabri,40,AU,1551394800,38,-30.33,149.78,77,4.7
116,mar del plata,80,AR,1551398507,69,-46.43,-67.52,61.62,7.4
117,east london,0,ZA,1551398508,100,-33.02,27.91,74.44,20.83
118,esperance,75,TT,1551398457,78,10.24,-61.45,79,8.05
119,portland,90,US,1551395116,67,45.52,-122.67,43,13.87
120,vaini,0,IN,1551398508,81,15.34,74.49,51.45,1.7
121,worland,1,US,1551398504,59,44.02,-107.96,37,3.36
122,shihezi,68,CN,1551398509,86,44.3,86.03,9.24,2.93
123,timmins,75,CA,1551394800,57,48.48,-81.33,17.6,9.17
124,los llanos de aridane,20,ES,1551396731,82,28.66,-17.92,62.6,6.93
125,vung tau,0,VN,1551398308,94,10.35,107.08,79.62,18.48
126,necochea,0,AR,1551398473,72,-38.55,-58.74,62.01,1.99
127,nabire,92,ID,1551398509,99,-3.36,135.5,70.08,1.36
128,thompson,75,CA,1551396060,64,55.74,-97.86,-0.41,11.41
129,hermanus,44,ZA,1551398471,95,-34.42,19.24,66,1.01
130,grindavik,75,IS,1551396600,81,63.84,-22.43,44.6,20.8
131,yelkhovka,75,RU,1551396600,86,53.87,50.29,30.2,15.66
132,dhidhdhoo,0,MV,1551398360,100,6.88,73.1,81.33,6.51
133,save,92,BJ,1551398511,95,8.04,2.49,71.07,9.31
134,pisco,0,PE,1551394800,30,-13.71,-76.2,71.6,21.92
135,tasiilaq,92,GL,1551398511,94,65.61,-37.64,29.17,48.45
136,asyut,0,EG,1551394800,61,27.18,31.19,50,13.87
137,komsomolskiy,44,RU,1551398261,77,67.55,63.78,-1.7,10.31
138,poso,92,ID,1551398512,100,-1.4,120.75,72.42,2.93
139,half moon bay,1,US,1551398228,58,37.46,-122.43,59,6.93
140,milkovo,0,BG,1551398284,42,41.53,24.68,46.4,9.17
141,cherskiy,24,RU,1551398512,68,68.75,161.3,-9.8,0.36
142,elizabeth city,75,US,1551398510,75,36.3,-76.22,44.01,12.75
143,sucua,20,EC,1551394800,69,-2.46,-78.17,75.2,5.82
144,otjiwarongo,48,NA,1551398513,63,-20.46,16.65,65.44,4.94
145,vanimo,92,PG,1551398514,100,-2.67,141.3,77.55,5.06
146,kaitangata,24,NZ,1551398514,68,-46.28,169.85,60.09,21.5
147,uaua,12,BR,1551398453,87,-9.84,-39.48,72.06,1.7
148,saint-pierre,48,FR,1551398470,93,48.95,4.24,50,17.22
149,kenai,1,US,1551398260,53,60.55,-151.26,34,5.82
150,buin,0,CL,1551394800,41,-33.73,-70.74,77,6.93
151,muros,0,ES,1551398491,93,42.77,-9.06,50,1.12
152,stuttgart,75,DE,1551398155,81,48.78,9.18,52,6.93
153,corinto,56,BR,1551398248,94,-18.36,-44.46,69.9,1.81
154,colares,20,PT,1551398507,76,38.8,-9.45,55.99,8.05
155,viedma,88,AR,1551398519,34,-40.81,-62.99,70.62,11.99
156,san ramon,40,NI,1551398340,73,12.92,-85.84,73.4,6.93
157,ada,64,US,1551398482,71,47.3,-96.52,16,5.82
158,tarko-sale,44,RU,1551398280,83,64.92,77.78,-1,12.55
159,castelfranco di sotto,75,IT,1551398509,93,43.7,10.75,52,4.7
160,grand gaube,40,MU,1551398341,83,-20.01,57.66,80.6,5.82
161,nacozari,0,MX,1551398416,44,25.34,-108.26,84,6.62
162,ambilobe,24,MG,1551398520,88,-13.19,49.05,75.79,11.88
163,mogocha,0,RU,1551398521,58,53.73,119.76,3.3,2.37
164,gobabis,80,NA,1551398521,56,-22.45,18.97,70.17,9.08
165,guarapari,20,BR,1551394800,79,-20.67,-40.5,84.2,10.29
166,omboue,68,GA,1551398521,100,-1.57,9.26,82.54,3.15
167,castro,90,CL,1551394800,67,-42.48,-73.76,59,3.36
168,hasaki,75,JP,1551397775,87,35.73,140.83,46.4,8.05
169,teahupoo,75,PF,1551397990,70,-17.83,-149.27,87.8,4.7
170,taoudenni,0,ML,1551398523,38,22.68,-3.98,48.52,5.61
171,belyy yar,80,RU,1551396600,92,53.6,91.39,19.4,2.24
172,lagoa,0,PT,1551398450,71,37.14,-8.45,55,4.7
173,ballina,76,IE,1551398523,93,54.11,-9.15,48,1.99
174,shaoxing,20,CN,1551398502,81,30,120.58,48.99,8.95
175,rodeo,0,MX,1551398525,17,25.18,-104.56,82.54,4.94
176,strezhevoy,75,RU,1551396600,92,60.73,77.6,6.8,6.71
177,kanniyakumari,8,IN,1551398526,97,8.08,77.57,82.68,10.76
178,preobrazheniye,0,RU,1551398526,49,42.9,133.91,30.03,3.71
179,alma,1,US,1551398367,67,40.1,-99.36,24.01,3.36
180,ilulissat,40,GL,1551394200,72,69.22,-51.1,17.6,3.36
181,laiyang,0,CN,1551398471,52,36.98,120.7,44.01,2.82
182,santiago,0,CL,1551398406,41,-33.44,-70.65,77,6.93
183,kununurra,0,AU,1551396600,66,-15.77,128.74,84.2,3.36
184,kichmengskiy gorodok,88,RU,1551398528,94,59.99,45.81,17.25,2.71
185,bonthe,0,SL,1551398528,82,7.53,-12.5,78.63,5.17
186,lang suan,20,TH,1551394800,94,9.95,99.07,73.4,2.24
187,georgetown,20,GY,1551394800,78,6.8,-58.16,80.6,11.41
188,mahebourg,40,MU,1551398341,83,-20.41,57.7,80.6,5.82
189,san ramon de la nueva oran,0,AR,1551398529,71,-23.13,-64.33,74.44,3.94
190,pychas,88,RU,1551398404,94,56.5,52.44,25,3
191,spasskoye,88,RU,1551398530,91,55.86,45.7,26.65,6.96
192,novaya zaimka,68,RU,1551398530,83,56.49,66.92,14.01,13
193,nome,90,US,1551398234,93,30.04,-94.42,57.2,9.17
194,caravelas,8,BR,1551398530,100,-17.73,-39.27,84.21,20.49
195,noumea,88,NC,1551396600,88,-22.28,166.46,77,17.22
196,san quintin,0,PH,1551398530,73,17.54,120.52,70.17,3.94
197,inta,36,RU,1551398531,75,66.04,60.13,2.04,4.83
198,chokurdakh,20,RU,1551398531,51,70.62,147.9,-17.86,3.71
199,maibong,88,IN,1551398531,98,25.3,93.13,53.2,1.59
200,port elizabeth,1,US,1551398524,55,39.31,-74.98,36,8.05
201,honiara,0,SB,1551398531,79,-9.43,159.96,82.68,1.7
202,barabai,92,ID,1551398532,98,-2.59,115.38,73.45,2.71
203,borogontsy,8,RU,1551398327,61,62.67,131.17,-21.68,2.71
204,grand-santi,76,GF,1551398532,59,4.27,-54.38,80.74,4.72
205,carnarvon,0,ZA,1551398532,62,-30.97,22.13,53.47,3.83
206,zilair,88,RU,1551398532,88,52.23,57.44,23.28,7.18
207,casper,90,US,1551398397,60,42.87,-106.31,45,16.11
208,yulara,0,AU,1551394800,19,-25.24,130.99,86,6.93
209,san blas,5,MX,1551394080,53,21.54,-105.29,77,9.17
210,port-gentil,20,GA,1551394800,88,-0.72,8.78,82.4,11.41
211,suntar,76,RU,1551398533,83,62.16,117.65,12.34,4.05
212,nuuk,40,GL,1551394200,36,64.17,-51.74,44.6,31.09
213,tabuk,56,PH,1551398534,86,17.41,121.44,66.03,1.81
214,touros,40,BR,1551394800,83,-5.2,-35.46,80.6,6.93
215,ostrovnoy,80,RU,1551398534,91,68.05,39.51,21.25,13.22
216,jodar,20,ES,1551398516,46,37.84,-3.35,54,1.01
217,petropavlovka,0,RU,1551398535,51,50.61,105.32,6.09,3.38
218,cairns,75,AU,1551398471,74,-16.92,145.77,84,11.41
219,road town,40,VG,1551398276,69,18.42,-64.62,78.8,9.17
220,chamalieres,90,FR,1551398525,57,45.78,3.06,51.8,6.93
221,alofi,75,NU,1551394800,66,-19.06,-169.92,87.8,13.87
222,garowe,20,SO,1551398536,92,8.41,48.48,61.17,3.15
223,tokur,12,RU,1551398536,65,53.13,132.9,8.74,2.59
224,zeya,0,RU,1551398536,58,53.74,127.27,3.97,2.37
225,rock springs,75,US,1551394440,64,41.59,-109.2,37.4,17.22
226,kars,20,TR,1551396600,72,40.61,43.1,17.6,2.24
227,iskitim,90,RU,1551396600,85,54.64,83.3,24.8,8.95
228,lucea,40,JM,1551398421,74,18.44,-78.17,80.6,20.8
229,mogadishu,0,SO,1551398538,100,2.04,45.34,79.17,15.35
230,la palma,8,CO,1551398539,74,5.36,-74.39,73.99,1.92
231,phonhong,75,LA,1551396600,100,18.5,102.42,73.4,4.7
232,husavik,20,CA,1551398405,66,50.56,-96.99,10,5.99
233,saldanha,0,PT,1551398540,78,41.42,-6.55,33.27,2.37
234,hamilton,90,BM,1551397569,88,32.3,-64.78,69.8,32.21
235,santa cruz cabralia,0,BR,1551394800,74,-16.28,-39.02,82.4,9.17
236,livadiya,0,RU,1551398540,95,42.87,132.68,34.17,15.23
237,lerwick,68,GB,1551397800,74,60.15,-1.15,37.4,1.12
238,mount gambier,0,AU,1551396780,23,-37.83,140.78,87.8,17.22
239,lasa,40,CY,1551396600,100,34.92,32.53,42.8,5.82
240,hereford,20,GB,1551398527,91,52.06,-2.72,48.99,5.99
241,yanam,44,IN,1551398541,91,16.73,82.22,73.95,7.74
242,shache,20,CN,1551398253,49,38.42,77.24,39,1.92
243,arrifes,75,PT,1551398535,93,37.77,-25.7,60.8,12.75
244,aleysk,80,RU,1551398542,97,52.5,82.77,28.05,14
245,la macarena,0,CO,1551398542,36,2.18,-73.79,87.99,3.71
246,port macquarie,75,AU,1551398404,61,-31.43,152.91,80.01,4.7
247,aksu,0,KZ,1551396600,83,52.04,76.93,-5.81,4.47
248,pyryatyn,88,UA,1551398544,92,50.24,32.51,34.53,14.45
249,huarmey,24,PE,1551398544,66,-10.07,-78.15,73.59,3.15
250,sabha,56,LY,1551398544,45,27.03,14.43,52.35,12.1
251,nizhniy tsasuchey,24,RU,1551398545,60,50.52,115.13,13.11,3.15
252,kargasok,48,RU,1551398545,78,59.06,80.87,8.52,3.83
253,wanning,75,AT,1551398225,57,48.64,13.53,51.8,18.34
254,mitsamiouli,64,KM,1551398545,100,-11.38,43.28,81.87,6.17
255,jalu,0,LY,1551398545,72,29.03,21.55,45.51,7.74
256,saint george,0,GR,1551398003,74,39.45,22.34,46,5.82
257,henderson,1,US,1551398139,17,36.04,-114.98,75.2,20.8
258,pevek,56,RU,1551398547,80,69.7,170.27,-1.7,14.45
259,hede,56,SE,1551398523,74,60.45,15.49,32,3.36
260,witu,8,KE,1551398547,94,-2.39,40.44,74.31,5.28
261,mana,0,RS,1551396600,57,43.52,20.24,41,2.24
262,qaanaaq,0,GL,1551398423,87,77.48,-69.36,-14.98,11.77
263,kushuhum,75,UA,1551394800,75,47.72,35.21,42.8,11.18
264,halifax,5,CA,1551398225,40,44.65,-63.58,18,19.46
265,springbok,0,ZA,1551398548,46,-29.67,17.88,61.3,5.61
266,shaunavon,64,CA,1551398548,85,49.65,-108.41,9.96,7.96
267,cidreira,12,BR,1551398549,92,-30.17,-50.22,65.4,5.5
268,mandal,8,MN,1551398549,49,48.82,106.5,2.44,2.59
269,hami,0,CN,1551398549,61,42.84,93.51,19.86,5.39
270,yinchuan,44,CN,1551398549,74,38.48,106.21,22.69,3.83
271,la libertad,75,PE,1551394800,87,-16.38,-71.56,55.4,9.17
272,russell,0,AR,1551394800,19,-33.01,-68.8,89.6,6.93
273,brownwood,90,US,1551396900,67,31.71,-98.99,41,4.94
274,piacabucu,0,BR,1551398550,81,-10.41,-36.43,79.17,9.75
275,te anau,0,NZ,1551398265,54,-45.41,167.72,59.64,3.94
276,kawalu,64,ID,1551398551,96,-7.38,108.21,68.64,2.37
277,marfino,75,RU,1551397995,92,56.07,37.56,34,4.47
278,waitati,0,NZ,1551398317,44,-45.75,170.57,66,17
279,youghal,20,IE,1551398490,93,51.95,-7.85,48,3.36
280,poum,0,MK,1551398552,72,41.28,20.71,19,1.92
281,show low,1,US,1551398532,37,34.25,-110.03,62.6,14.99
282,nanchong,88,CN,1551398552,89,30.8,106.08,46.59,3.15
283,alakurtti,32,RU,1551397931,92,66.96,30.34,8.01,4
284,ormara,0,PK,1551398552,87,25.21,64.64,67.6,6.85
285,ihtiman,0,BG,1551398467,49,42.44,23.81,39.99,3.36
286,lavrentiya,88,RU,1551398553,90,65.58,-170.99,29.62,32.35
287,teya,40,MX,1551398509,38,21.05,-89.07,89.6,20.8
288,ixtapa,5,MX,1551398431,69,20.71,-105.21,77,10.29
289,santa isabel,75,CO,1551394800,78,4.71,-75.1,78.8,3.36
290,coyula,12,MX,1551398554,69,20.93,-98.48,78.81,3.38
291,mandalgovi,0,MN,1551398444,64,45.76,106.27,5.37,4.72
292,naze,64,NG,1551398554,97,5.43,7.07,69.9,5.39
293,araouane,0,ML,1551398555,35,18.9,-3.53,51.63,8.86
